unmapped_percent,sample,status
0.61,WT_Minimal_HisMetLeuUra_Galactose_2_180_none_4,0
1.25,YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
0.79,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
1.6199999999999999,YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
1.4300000000000002,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_2,0
1.11,YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
1.6099999999999999,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_4,0
1.33,YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_6,0
0.78,WT_YPD_none_Glucose_2_1440_none_29,0
0.77,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_30_1NMPP7_3,0
0.92,WT_Minimal_HisMetLeuUra_Galactose_2_60_none_2,0
0.44999999999999996,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
1.79,YGL209W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
1.49,YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_3,0
1.41,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_2,0
1.45,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_5,0
1.3800000000000001,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_3,0
0.81,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_300_none_2,0
1.08,YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_1,0
1.43,YBR033W_YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
1.35,YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
1.17,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
1.76,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
